stage;kill_10_F;kill_90_F
silver_tip;15;2
green_tip;18;10
half_green;23;15
tight_cluster;27;21
first_pink;28;24
full_pink;28;25
first_bloom;28;25
full_bloom;28;25
post_bloom;28;25
