"par","value","job_id","repetition","cultivar","counts","control.maxtime","date","start.time","end.time","run.time","rss","par.start","par.upper","par.lower"
"Tu",24.5568413463101,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,17.72,30,15
"theta_c",286.623995896323,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,285.54,287,284
"tau",47.582686926037,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,45.67,48,16
"piec",26.571716223813,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,29.49,50,24
"Tf",3.28694132605862,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,2.97,10,2
"Tb",3.88277951496652,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,1.87,10,2
"slope",1.2699999767011,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,2.69,5,1.2
"theta_star",279,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,279,279,279
"Tc",36,8,8,"early",15114,12600,2025-01-24,14:46:16,18:50:12,04:03:56,465538.111111111,36,36,36
"yc",63.1988353392105,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,24.79,80,20
"zc",246.879142669208,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,337.04,500,100
"s1",0.246874691946571,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,0.2529,1,0.1
"Tu",23.1065677339899,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,17.72,30,15
"theta_c",286.115530843837,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,285.54,287,284
"tau",40.3486424419715,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,45.67,48,16
"piec",37.3265738356443,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,29.49,50,24
"Tf",2.36178649121698,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,2.97,10,2
"Tb",4.12925353432988,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,1.87,10,2
"slope",1.60410958284832,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,2.69,5,1.2
"theta_star",279,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,279,279,279
"Tc",36,15,5,"late",14189,12600,2025-01-24,14:46:19,18:56:30,04:10:11,575255.175347222,36,36,36
